student_id,summary_en,last_contact_method,contact_outcome,intervention_succeeded,followup_due,risk_flags,trajectory,name_mismatch
S004,"The student has weak attendance and minimal exercise completion, requiring urgent intervention. The facilitator attempted to contact the parent without success, and the student's situation remains unchanged.",other,unknown,False,,disengagement,worsening,True
S005,"The student has been repeatedly absent due to late-night gaming. The facilitator contacted the parent multiple times, but the parent stopped responding, and the student's situation has worsened.",call,no_answer,False,2025-10-09,"phone_addiction, disengagement",worsening,True
S006,"The student attended for only 25 minutes and left upset without explanation. She was absent the next day; the facilitator called the parent, who reported a family problem and said the student would return next week.",call,reached,,,"family_issue, disengagement",unknown,True
S007,The student initially struggled but improved after the facilitator provided extra explanation after class. The parent called to express gratitude and reported increased confidence.,call,reached,True,,,improving,True
S008,"The student attends all sessions but does not complete any exercises and does not see their value. The parent was defensive and uncooperative when contacted, making it difficult to help the student.",call,reached,False,,"disengagement, family_issue",worsening,True
S009,"The student avoids difficult questions and struggles with low self-confidence; after the facilitator discussed confidence-building, the student began showing improvement but still needs psychological support.",none,unknown,True,,"disengagement, other",improving,True
S012,"The facilitator attempted to contact the student's parents multiple times without success, and the student missed a test. Eventually the father was reached; he was unaware of the program but wants the student to continue. The facilitator notes that earlier communication with parents would have improved the situation.",call,reached,,,"disengagement, family_issue",unknown,True
S013,"The student has been leaving sessions early (50 minutes, then 45 minutes) and appears uncomfortable, but denies any specific issues when asked privately. No parent contact has been made.",none,unknown,,,disengagement,worsening,True
S015,"The student attends sessions but does not practice, resulting in a low test score of 58. The facilitator discussed the importance of practice with the student, but the student believes understanding in class is sufficient. No contact with the parent is documented.",none,unknown,,,disengagement,unknown,True
S017,The student (referred to as Amal in the notes) has been crying due to family problems but continues to attend sessions; the facilitator checked in and provided emotional support.,none,unknown,,,family_issue,stable,True
S019,"The student has weak attendance and low grades, needing comprehensive support. No parent contact documented.",none,unknown,,,disengagement,unknown,True
S023,The student (referred to as Layla in the notes) attended on 2025-10-11 with an excellent test score of 88 but was absent on 2025-10-14. The facilitator sent a WhatsApp message to the parents on 2025-10-14 and has not received a response.,whatsapp,no_answer,,,disengagement,unknown,True
S024,"The facilitator discussed exercise quality with the student, who began attempting more difficult questions with slow but steady progress. No parent contact is recorded.",none,unknown,,,,improving,True
S027,The student is struggling in all areas and requires urgent intervention. No parent contact documented.,none,unknown,,,disengagement,unknown,True
S028,"The facilitator called the parent twice, both times reaching the mother. The student (referred to as Maryam in the notes) has been attending only partial sessions (30 minutes then 20 minutes) due to tiredness or illness. The mother reports the student insists on attending but is unwell; the facilitator advised rest. Attendance is decreasing.",call,reached,,,"health, disengagement",worsening,True
S030,"The notes describe a student (referred to as Hassan) who attends regularly but does not practice, similar to another student named Khalid. The facilitator suggests a broader awareness campaign about the importance of exercises. No parent contact or intervention outcome is recorded.",none,unknown,,,disengagement,unknown,True
